,0,LPS,chitin,elf,flg,nlp,OGs,pep
0,AT1G01010,0,0,1,1,1,0,1
1,AT1G01030,0,0,0,1,0,0,0
2,AT1G01120,0,0,0,1,0,0,0
3,AT1G01130,0,0,0,1,0,0,0
4,AT1G01180,0,0,0,1,0,0,0
5,AT1G01230,0,0,0,1,0,0,0
6,AT1G01340,1,0,1,1,1,1,1
7,AT1G01480,1,0,1,1,1,0,1
8,AT1G01490,0,0,0,1,1,0,0
9,AT1G01550,0,0,0,1,0,0,0
10,AT1G01560,1,0,1,1,1,1,1
11,AT1G01720,0,0,1,1,1,1,1
12,AT1G01725,0,0,0,1,0,0,0
13,AT1G01730,0,0,1,1,0,0,0
14,AT1G01940,0,0,0,0,1,0,0
15,AT1G02030,0,0,1,1,0,0,0
16,AT1G02120,0,0,1,1,1,0,1
17,AT1G02170,0,0,0,1,1,0,1
18,AT1G02220,0,0,1,1,1,1,1
19,AT1G02230,0,0,1,1,1,1,1
20,AT1G02310,0,0,0,0,0,0,1
21,AT1G02360,0,1,1,1,1,1,1
22,AT1G02400,1,0,1,1,1,1,1
23,AT1G02405,0,0,0,1,0,0,0
24,AT1G02410,0,0,0,1,0,0,0
25,AT1G02430,0,0,0,1,0,0,0
26,AT1G02440,1,0,1,1,0,0,0
27,AT1G02450,1,0,1,1,0,1,1
28,AT1G02460,0,0,0,1,0,0,1
29,AT1G02470,0,0,0,0,0,1,0
30,AT1G02500,0,0,0,1,1,0,0
31,AT1G02580,0,0,0,0,1,0,0
32,AT1G02610,0,0,0,1,0,0,0
33,AT1G02850,1,1,1,1,1,1,1
34,AT1G02880,0,0,0,1,1,0,0
35,AT1G02900,0,0,0,1,0,0,0
36,AT1G02920,1,1,1,1,1,1,1
37,AT1G02930,1,1,1,1,1,1,1
38,AT1G02940,1,0,1,1,1,1,1
39,AT1G02980,0,0,0,1,0,0,0
40,AT1G03010,0,1,0,0,0,0,0
41,AT1G03040,0,0,0,1,0,0,0
42,AT1G03170,1,0,0,0,0,0,0
43,AT1G03220,0,0,0,1,1,0,1
44,AT1G03230,0,0,0,1,1,1,1
45,AT1G03290,0,0,1,1,1,1,1
46,AT1G03370,0,0,1,1,1,0,1
47,AT1G03400,0,0,1,0,0,0,1
48,AT1G03590,0,0,0,1,0,0,0
49,AT1G03730,0,0,0,1,0,0,0
50,AT1G03740,0,0,0,1,1,0,0
51,AT1G03850,0,0,0,0,1,0,0
52,AT1G03905,0,0,1,1,1,1,1
53,AT1G03950,0,0,0,1,0,0,0
54,AT1G04100,0,0,1,1,1,0,1
55,AT1G04120,0,0,0,1,0,0,0
56,AT1G04280,0,0,0,0,1,0,0
57,AT1G04360,0,0,0,1,1,0,0
58,AT1G04370,0,0,1,1,0,0,1
59,AT1G04380,0,0,0,0,0,0,1
60,AT1G04555,0,0,0,1,0,0,0
61,AT1G04570,0,0,0,1,0,0,0
62,AT1G04770,0,0,0,1,1,0,0
63,AT1G04780,0,0,0,1,1,0,0
64,AT1G04960,0,0,0,1,0,0,0
65,AT1G04980,1,1,1,1,1,1,1
66,AT1G05000,0,0,1,1,1,0,1
67,AT1G05010,0,0,1,1,1,1,1
68,AT1G05060,0,0,0,1,0,0,0
69,AT1G05135,0,0,0,1,0,0,0
70,AT1G05170,0,0,0,1,1,0,1
71,AT1G05300,0,0,1,1,0,0,0
72,AT1G05340,0,0,0,1,1,1,1
73,AT1G05350,0,0,0,1,0,0,0
74,AT1G05450,0,0,0,1,1,0,0
75,AT1G05560,1,1,0,1,1,1,1
76,AT1G05575,0,0,0,1,1,0,1
77,AT1G05675,1,0,0,1,1,0,1
78,AT1G05680,1,0,0,1,1,1,1
79,AT1G05700,0,0,1,0,0,0,0
80,AT1G05710,0,0,0,1,1,0,0
81,AT1G05805,0,0,0,1,0,0,0
82,AT1G05880,0,0,1,1,0,1,0
83,AT1G06050,0,0,0,1,1,0,0
84,AT1G06135,0,0,0,0,1,0,0
85,AT1G06148,0,0,0,1,1,0,1
86,AT1G06160,0,0,0,0,0,0,1
87,AT1G06180,1,0,1,0,1,1,1
88,AT1G06390,0,0,0,1,0,0,0
89,AT1G06515,0,0,0,1,0,0,0
90,AT1G06540,1,0,0,0,0,0,0
91,AT1G06550,0,0,0,1,0,0,0
92,AT1G06570,0,0,0,1,0,0,1
93,AT1G06620,0,0,0,1,0,0,1
94,AT1G06770,0,0,0,1,0,0,0
95,AT1G06800,0,0,0,0,1,0,0
96,AT1G06830,0,0,1,1,0,0,1
97,AT1G06840,0,0,0,1,1,0,0
98,AT1G07000,0,0,1,1,1,1,1
99,AT1G07020,0,0,0,1,0,0,0
100,AT1G07030,0,0,0,1,0,0,0
101,AT1G07128,0,0,0,1,1,0,1
102,AT1G07130,0,0,0,1,1,0,1
103,AT1G07135,0,0,0,1,1,0,0
104,AT1G07160,1,0,1,1,1,0,0
105,AT1G07170,0,0,0,1,0,0,0
106,AT1G07175,0,0,0,1,0,0,0
107,AT1G07230,0,0,0,1,0,0,0
108,AT1G07240,0,0,0,1,1,0,1
109,AT1G07310,0,0,0,1,0,0,0
110,AT1G07400,1,1,1,1,1,1,1
111,AT1G07430,0,0,0,0,0,1,0
112,AT1G07570,0,0,0,1,0,0,0
113,AT1G07620,1,0,1,1,1,1,1
114,AT1G07630,0,0,1,1,1,0,1
115,AT1G07640,0,0,1,0,0,0,0
116,AT1G07650,0,0,0,0,0,0,1
117,AT1G07670,0,0,1,0,0,0,0
118,AT1G07880,0,0,0,1,1,1,0
119,AT1G07885,0,0,1,1,0,1,0
120,AT1G07890,0,0,1,1,1,1,1
121,AT1G07900,0,0,0,1,1,0,1
122,AT1G07960,0,0,0,1,0,0,0
123,AT1G08050,1,1,1,1,1,1,1
124,AT1G08230,0,0,0,0,1,1,0
125,AT1G08250,0,0,1,1,1,1,1
126,AT1G08290,0,0,0,0,0,0,1
127,AT1G08310,0,0,0,1,0,0,0
128,AT1G08315,0,0,0,1,0,0,0
